name,field,city,state,location,mailing_address,phone,email,certified,detail_url,about,social_media,logo,highlights,photos_count,timestamp,photos
"A Classical Studio, Inc",,,,,,,,Yes,https://www.classicist.org/membership-directory/a-classical-studio-inc/,,[],https://www.classicist.org/assets/images/member-logo/_memberLogo/New-ACS-Blue-square-sign-with-Interiors.jpg,[],0,1769021544.372164,"[{'url': 'https://www.classicist.org/assets/images/member-slider/_heroSlider/A-Classical-Studio-Custom-Tudor-Style.jpg', 'alt': ''}, {'url': 'https://www.classicist.org/assets/images/member-slider/_heroSlider/A-classical-studio-Custom-home.jpg', 'alt': ''}, {'url': 'https://www.classicist.org/assets/images/member-slider/_heroSlider/A-Classical-Studio-Custom-Tudor-Style.jpg', 'alt': ''}, {'url': 'https://www.classicist.org/assets/images/member-slider/_heroSlider/A-classical-studio-Custom-home.jpg', 'alt': ''}, {'url': 'https://www.classicist.org/assets/images/member-slider/_heroSlider/A-Classical-Studio-Custom-Tudor-Style.jpg', 'alt': ''}]"
A. A. Ford Interiors,Interior Designer,Knoxville,TN,,,(731) 445-4794,aaford.com,No,https://www.classicist.org/membership-directory/a-a-ford-interiors/,,[],,[],0,1769021544.372164,[]
A. Ottavino Corp.,Vendor / Manufacturer,80-60 Pitkin AvenueOzone Park,NY 11417(718) 848-9404,,,,ottavinostone.com,No,https://www.classicist.org/membership-directory/a-ottavino-corp/,,[],,[],0,1769021544.372164,[]
Aalto Marble Inlay,Artisan,304 North 4th StreetFairfield,IA 52556(319) 237-7230,,,,www.aaltomarbleinlay.com,No,https://www.classicist.org/membership-directory/aalto-design/,,[],,[],0,1769021544.372164,[]
Aaron Cote Architecture PLLC,Architect / Designer,1355 Greenwood Cliff,Suite 300A,,,"Charlotte, NC 28204(980) 550-5040",www.aaroncotearchitecture.com,No,https://www.classicist.org/membership-directory/aaron-cote-architecture-pllc/,,[],,[],0,1769021544.372164,[]
AB Dwellings LLC,Architect / Designer,Santa Clarita,CA(714) 737-2246,,,,abdwellings.com,No,https://www.classicist.org/membership-directory/ab-dwellings-llc/,,[],,[],0,1769021544.372164,[]
Abaya Design Studio,Architect / Designer,215 S. Denton Tap Road,Suite 215 Coppell,,,(214) 682-0307,www.abayadesignstudio.com,No,https://www.classicist.org/membership-directory/abaya-design-studio/,,[],,[],0,1769021544.372164,[]
ABC Worldwide Stone,,,,,,,,Yes,https://www.classicist.org/membership-directory/abc-worldwide-stone/,,[],https://www.classicist.org/assets/images/member-logo/_memberLogo/ABC-Stone.jpg,[],0,1769021544.372164,"[{'url': 'https://www.classicist.org/assets/images/member-slider/_heroSlider/Cornell-Tech-University.jpg', 'alt': ''}, {'url': 'https://www.classicist.org/assets/images/member-slider/_heroSlider/Bryan-Graybill-Kitchen_Photo-by-Eric-Piasecki.jpg', 'alt': ''}, {'url': 'https://www.classicist.org/assets/images/member-slider/_heroSlider/Barnes-Foundation_Photo-by-MM-OTTO.jpg', 'alt': ''}, {'url': 'https://www.classicist.org/assets/images/member-slider/_heroSlider/Steve-Gold-Wooster-Street-Home_Photo-by-Nina-Poon.jpg', 'alt': ''}, {'url': 'https://www.classicist.org/assets/images/member-slider/_heroSlider/Cornell-Tech-University.jpg', 'alt': ''}, {'url': 'https://www.classicist.org/assets/images/member-slider/_heroSlider/Bryan-Graybill-Kitchen_Photo-by-Eric-Piasecki.jpg', 'alt': ''}, {'url': 'https://www.classicist.org/assets/images/member-slider/_heroSlider/Barnes-Foundation_Photo-by-MM-OTTO.jpg', 'alt': ''}, {'url': 'https://www.classicist.org/assets/images/member-slider/_heroSlider/Steve-Gold-Wooster-Street-Home_Photo-by-Nina-Poon.jpg', 'alt': ''}, {'url': 'https://www.classicist.org/assets/images/member-slider/_heroSlider/Cornell-Tech-University.jpg', 'alt': ''}]"
"Absolute Hardwood Flooring, Inc",Vendor / Manufacturer,1241 B Old Okeechobee Rd,,,,(561) 722-0372,www.absolutehardwoodflooring.com,No,https://www.classicist.org/membership-directory/absolute-hardwood-flooring-inc/,,[],,[],0,1769021544.372164,[]
Acanthus International,Artisan,429 25th Street,,,,(561) 333-8921,acanthusinternational.com,No,https://www.classicist.org/membership-directory/acanthus-international/,,[],,[],0,1769021544.372164,[]
